"news_influencer_id","news_id","influencer_name"
"1","1","siti"
"2","2","rustam"
"3","3","hendra+jaya"
"4","3","sunaryo"
"5","3","rosma"
"6","4","william+wongso"
"7","5","prabowo+subianto"
"8","5","sandiaga+uno"
"9","5","try+sandi+apriana"
"10","6","ahmad+saepudin"
"11","7","rudi"
"12","7","utoro"
"13","8","sri+mulyani+indrawati"
"14","9","adiatma+sardjito"
"15","9","paulus+tjakrawan"
"16","9","sri+mulyani+indrawati"
"17","10","darmin+nasution"
"18","10","rida+mulvana"
"19","10","paulus+tjakrawan"
"20","11","adiatma+sardjito"
"21","11","ignasius+jonan"
"22","11","jose+rizal+damuri"
"23","11","bhima+yudhistira"
"24","13","andi+erwin+pallawarukka"
"25","13","h+m+taufan+pawe"
"26","14","dede+supriatna"
"27","14","dade"
"28","15","h+dadang+hermawan"
"29","16","timboel+siregar"
"30","16","fachmi+idris"
"31","17","syamsul+huda"
"32","18","pongki+pamungkas"
"33","19","biaya+ekstra+menurut+sutanto"
"34","19","mohammad+ta'in"
"35","20","sigit+widyonindito"
"36","20","imam+ihwandi"
"37","20","arif+nurhayadi"
"38","21","sandiaga+uno"
"39","21","prabowo+subianto"
"40","21","prabowo+sandi"
"41","21","tvy+sandi"
"42","21","try+sandi+apriana"
"43","22","parjuni"
"44","23","watno"
"45","23","sutanto"
"46","23","mohammad+ta'in"
"47","24","kccuk+suhariyanto"
"48","27","roman+smaradana+elhaj"
"49","29","suhariyanto"
"50","30","hiroh"
"51","31","gusti+ngurah+jelantik+manuaba"
"52","32","amran+sulaiman"
"53","33","sandiaga+uno"
"54","33","prabowo+subianto+sandiaga+uno"
"55","34","william+wongso"
"56","35","dahlia"
"57","35","agung+indradarmawanmengungkapkan"
"58","36","wayan+suamba"
"59","36","gusti+ngurah+jelantik+manuaba"
"60","37","saka+bagas+satria+adi"
"61","37","aryo+rumbono"
"62","37","namche+ahmad+latif+noor"
"63","37","muhi+surya+suprayogi"
"64","37","totok+haryanta"
"65","37","fredericus+fredi"
"66","38","william+wongso"
"67","39","arif+nurhayadi"
"68","39","hery+nurjiyanto"
"69","39","sigit+widyonindito"
"70","40","ratnawati"
"71","40","sie+djien+soen"
"72","40","inger+mccabe+elliott"
"73","40","iswie"
"74","40","sumartono+hadinoto"
"75","41","abdullah+siraja"
"76","41","aswin"
"77","41","suyono"
"78","41","maryadi"
"79","41","anto"
"80","41","edison+sipahutar"
"81","42","joko+widodo"
"82","42","tatang+sulaiman"
"83","42","yuyu+sutisna"
"84","42","siwi+sukma+adji"
"85","42","hadi+tjahjanto"
"86","42","military+relations"
"87","44","arie+herlambang"
"88","44","hammam+riza"
"89","45","djayadi+hanan"
"90","45","viva+yoga+mauladi"
"91","45","andy+budiman"
"92","46","zulkifli"
"93","46","utara+m+akhir+armansyah"
"94","46","ridwan+mumu"
"95","46","jufri"
"96","47","maisun"
"97","47","sofia"
"98","47","mien+achmad+rifai"
"99","47","lintu+tulistyantoro"
"100","47","badrun"
"101","48","budi+gunadi+sadikin"
"102","50","adiatma+sardjito"
"103","50","nicke+widyawati"
"104","50","rakhmanto"
"105","50","pri+agung"
"106","50","kardaya+warnika"
"107","51","eric+rossi+priyo+nugroho"
"108","52","kin+saluah"
"109","52","hidayat"
"110","52","wiranto"
"111","52","setyardi+surya"
"112","52","jusuf+kalla"
"113","52","tiopan+aritonang"
"114","52","agus+subiyanto"
"115","52","ahmad+yurianto"
"116","52","longki+djanggola"
"117","52","agus+salim"
"118","52","bambang+darmono"
"119","52","willem+rampangilei"
"120","53","husain+abdullah"
"121","53","jusuf+kalla"
"122","53","sofjan+wanandi"
"123","53","rudiantara"
"124","53","roy+nicolas+mandey"
"125","53","wiranto"
"126","53","tito+karnavian"
"127","53","tjahjo+kumolo"
"128","53","setyo+wasisto"
"129","53","ferdinandus+setu"
"130","53","semuel+abrijani+pangerapan"
"131","54","bambang+darmono"
"132","54","endriartono+sutarto"
"133","54","susilo+bambang+yudhoyono"
"134","54","bambang+iain"
"135","54","sofjan+wanandi"
"136","54","sudirman+said"
"137","55","dono+boestami"
"138","56","yusuf"
"139","56","rifky"
"140","57","agus+maimun"
"141","57","muhammad+hasyim"
"142","58","joko+widodo"
"143","59","suparna"
"144","60","edo+rahman"
"145","60","susanto"
"146","60","heri"
"147","62","bambang+brodjonegoro"
"148","62","arif+satria"
"149","62","rini+soemarno"
"150","63","subaini"
"151","63","rahman"
"152","63","sutopo+purwo+nugroho"
"153","64","abdullah+mansuri"
"154","65","wayan+suamba"
"155","65","gusti+ngurah+jelantik+manuaba"
"156","66","sutanto"
"157","66","watno"
"158","66","mohammad+ta'in"
"159","67","gus+yasin"
"160","68","sunardi"
"161","69","william+wongso"
"162","70","agus+trimukti"
"163","71","rohmat"
"164","72","suparna"
"165","73","chairani+rahmatullah"
"166","75","mas'ud+khamid"
"167","75","syamsul+hudamenuturkan"
"168","76","sutopo+purwo+nugroho"
"169","76","abdurrahman+mohammad+fachir"
"170","76","indriani+widiastuti"
"171","77","sulaiman"
"172","77","amran"
"173","78","rudiantara"
"174","79","andrew+tambunan"
"175","79","denny+nugrahanto"
"176","79","angga+rega+yandika"
"177","79","hendrix+eko+v"
"178","80","askolani"
"179","80","risfaheri"
"180","81","pongki+pamungkas"
"181","82","nurdin+abdullah"
"182","82","dwia+aries+tina+pulubuhu"
"183","83","edmond+leonardo+siahaan"
"184","83","m+iqbal"
"185","83","m+ichsan+loulembah"
"186","84","darmin+nasution"
"187","85","evelyn+yamin"
"188","85","adi+rush"
"189","86","william+wongso"
"190","87","sandiaga+uno"
"191","88","nurdin+abdullah"
"192","89","william+wongso"
"193","90","cecep+muhammad+wahyudin"
"194","91","i+wayan+keplis"
"195","92","itmar+darwin+indigo"
"196","93","hambra+samal"
"197","94","djayadi+hanan"
"198","94","andy+budiman"
"199","94","jokowi+makin+matang"
"200","94","viva+yoga+mauladi"
"201","95","reza+priyambada"
"202","95","hariyadi+sukamdani"
"203","95","shinta+widjaja"
"204","96","syamsul+huda"
"205","96","djainuddin+karanggusi"
"206","96","m+arifin"
"207","96","pengembangan+infrastruktur+m+noor+arifin"
"208","97","rainier+gultom"
"209","97","mulyawan"
"210","98","bhima+yudhistira"
"211","98","pieter+abdullah"
"212","98","tony+prasetiantono"
"213","98","tony+b+i"
"214","99","rendang+unta+william+wongso+sambungan"
"215","100","amran+sulaiman"
"216","102","assyifa+szami+ilman"
"217","102","eko+listianto"
"218","102","suhariyanto"
"219","103","mas'ud+khamid"
"220","104","bhima+yudhistira"
"221","105","beliun+ditemukan+sutopo"
"222","105","sutopo+purwo+nugroho"
"223","105","astia"
"224","105","feby+farhan"
"225","105","khamid"
"226","105","gayus+sampe"
"227","108","hadi+sulistyo"
"228","109","ramsyah"
"229","110","ahmad+siddik+badruddin"
"230","111","bhima+yudhistira"
"231","111","iskandar"
"232","111","darmin+nasution"
"233","112","hendra+jaya"
"234","113","hasto+kristiyanto"
"235","114","roby+hervindo"
"236","115","adiatma+sardjito"
"237","115","nicke+widyawati"
"238","115","pri+agung+rakhmanto"
"239","115","kardaya+wamika"
"240","115","wisnu+prabawa+taher"
"241","117","kariyanto+hardjosoemarto"
"242","120","m+husein+sawit"
"243","120","tjahya+widayanti"
"244","120","achmad+dawami"
"245","120","bachtiar+utomo"
"246","121","hardy"
"247","122","suvro+sarkar"
"248","123","eka+tirtayana"
"249","123","made+subur"
