"news_person_id","news_id","person_name"
"6","3","rosma"
"7","3","sunaryo"
"9","4","chok"
"10","4","karno"
"12","4","suwadi+wongso"
"11","4","william+wongso"
"14","4","wong+see+hwa"
"13","4","wongso+j"
"8","4","yong+indrajaya"
"15","5","prabowo+subianto"
"16","5","sandiaga+uno"
"17","5","try+sandi+apriana"
"18","6","ahmad+saepudin"
"19","6","ketmp+kalibata"
"20","7","rudi"
"21","7","utoro"
"22","8","sri+mulyani+indrawati"
"24","9","adiatma+sardjito"
"23","9","paulus+tjakrawan"
"25","9","sri+mulyani+indrawati"
"26","10","darmin+nasution"
"28","10","paulus+tjakrawan"
"27","10","rida+mulvana"
"32","11","adiatma+sardjito"
"31","11","bhima+yudhistira"
"29","11","ignasius+jonan"
"30","11","jose+rizal+damuri"
"37","13","amarun+hamka"
"35","13","andi+erwin+pallawarukka"
"33","13","h+kaharuddin+kadir"
"34","13","h+m+taufan+pawe"
"36","13","iwan+asaad"
"38","14","dade"
"39","14","dede+supriatna"
"42","15","asep"
"41","15","h+dadang+hermawan"
"40","15","irawati+erlina"
"44","16","fachmi+idris"
"43","16","timboel+siregar"
"46","17","kartini"
"45","17","syamsul+huda"
"47","18","pongki+pamungkas"
"48","19","biaya+ekstra+menurut+sutanto"
"49","19","mohammad+ta'in"
"55","20","arif+nurhayadi"
"52","20","bunga"
"50","20","imam+ihwandi"
"51","20","loojuta"
"53","20","pranowo"
"54","20","sigit+widyonindito"
"57","21","abdullah+syafi'ie"
"59","21","heri+gunawan"
"60","21","prabowo+sandi"
"56","21","prabowo+subianto"
"63","21","riens"
"58","21","sandiaga+uno"
"62","21","try+sandi+apriana"
"61","21","tvy+sandi"
"65","22","insan+ferunggasan"
"64","22","parjuni"
"68","23","mohammad+ta'in"
"67","23","sutanto"
"66","23","watno"
"69","24","kccuk+suhariyanto"
"70","25","enggar"
"72","27","ali+hamka"
"71","27","roman+smaradana+elhaj"
"73","29","suhariyanto"
"74","30","hiroh"
"76","31","gusti+ngurah+jelantik+manuaba"
"77","31","i+wayan+suamba"
"75","31","menyambut"
"78","32","amran+sulaiman"
"81","33","prabowo+subianto+sandiaga+uno"
"79","33","roemah+djoeang+prabowo+sandi"
"80","33","sandiaga+uno"
"82","33","suriya"
"84","34","chok"
"85","34","karno"
"87","34","suwadi+wongso"
"86","34","william+wongso"
"88","34","wong+see+hwa"
"83","34","yong+indrajaya"
"91","35","agung+indradarmawanmengungkapkan"
"90","35","dahlia"
"89","35","hbalc+deri"
"92","36","gusti+ngurah+jelantik+manuaba"
"93","36","wayan+suamba"
"108","37","adi"
"104","37","agustina"
"107","37","arbi"
"101","37","aryo+rumbono"
"94","37","fredericus+fredi"
"99","37","jogjakarta+mengalahkansman"
"102","37","m+irvan+salafi"
"96","37","maria+micell"
"105","37","muhi+surya+suprayogi"
"97","37","nadifa+asna+qonita"
"103","37","namche+ahmad+latif+noor"
"95","37","saka+bagas+satria+adi"
"106","37","smaba"
"100","37","smase"
"98","37","totok+haryanta"
"110","38","chok"
"111","38","karno"
"113","38","suwadi+wongso"
"112","38","william+wongso"
"114","38","wong+see+hwa"
"109","38","yong+indrajaya"
"120","39","arif+nurhayadi"
"116","39","hery+nurjiyanto"
"115","39","ismudiyono"
"117","39","m+khamami"
"118","39","mansur+siradj"
"119","39","sigit+widyonindito"
"127","40","anita+ayu"
"121","40","ignasius+jonan"
"124","40","inger+mccabe+elliott"
"126","40","iswie"
"125","40","ratnawati"
"123","40","sie+djien+soen"
"122","40","sumartono+hadinoto"
"129","41","abdullah+siraja"
"131","41","anto"
"134","41","aswin"
"130","41","edison+sipahutar"
"133","41","k+o+sebagian"
"128","41","maryadi"
"132","41","suyono"
"144","42","florina+cristiana+matei"
"138","42","hadi+tjahjanto"
"139","42","joko+widodo"
"141","42","military+relations"
"143","42","samuel+huntington"
"135","42","siwi+sukma+adji"
"136","42","tatang+sulaiman"
"142","42","thomas+c+bruneau"
"140","42","yuyu+sutisna"
"145","43","gillies+h+d"
"148","44","arie+herlambang"
"147","44","arsinum"
"146","44","hammam+riza"
"149","44","yuni+ikawati+saat"
"152","45","amin"
"159","45","andy+budiman"
"158","45","djayadi+hanan"
"160","45","joko+widodo"
"154","45","jusuf+kalla"
"150","45","prabowo+subianto"
"157","45","ratna+sarumpaet"
"153","45","sandiaga+uno"
"155","45","susilo+bambang+yudhoyono"
"151","45","viva+yoga+mauladi"
"165","46","jufri"
"162","46","m+armansyah"
"164","46","ridwan+mumu"
"163","46","utara+m+akhir+armansyah"
"161","46","zulkifli"
"166","47","badrun"
"168","47","carolina+josephina"
"171","47","lintu+tulistyantoro"
"169","47","maisun"
"170","47","mien+achmad+rifai"
"167","47","sofia"
"179","48","angelina+anjar"
"180","48","budi+gunadi+sadikin"
"172","48","ignasius+jonan"
"174","48","joko+widodo"
"178","48","karen+agustiawan"
"181","48","khairul+anam"
"175","48","rini+soemarno"
"177","48","sapto+yunus"
"173","48","siti+nurbaya+bakar"
"176","48","sri+mulyani+indrawati"
"182","50","adiatma+sardjito"
"183","50","kardaya+warnika"
"185","50","nicke+widyawati"
"186","50","pertamax+rirbo"
"188","50","pri+agung"
"187","50","rakhmanto"
"184","50","tyisakti+pri"
"189","51","eric+rossi+priyo+nugroho"
"190","52","agus+salim"
"203","52","agus+subiyanto"
"204","52","ahmad+yurianto"
"202","52","bambang+darmono"
"196","52","hidayat"
"205","52","joko+widodo"
"193","52","jusuf+kalla"
"199","52","kin+saluah"
"192","52","longki+djanggola"
"194","52","reny+ardiawati"
"195","52","setyardi+surya"
"200","52","sigit+purnomo"
"201","52","tiopan+aritonang"
"191","52","willem+rampangilei"
"198","52","wiranto"
"214","53","dani+kustoni"
"206","53","ferdinandus+setu"
"222","53","fitra+swalayan"
"211","53","hidayat"
"216","53","husain+abdullah"
"212","53","joko+widodo"
"209","53","jusuf+kalla"
"208","53","longki+djanggola"
"220","53","roy+nicolas+mandey"
"219","53","rudiantara"
"207","53","semuel+abrijani+pangerapan"
"215","53","setyo+wasisto"
"221","53","sofjan+wanandi"
"210","53","soijan"
"218","53","tito+karnavian"
"217","53","tjahjo+kumolo"
"213","53","wiranto"
"224","54","bambang+darmono"
"229","54","bambang+iain"
"225","54","endriartono+sutarto"
"230","54","jusuf+kalla"
"226","54","kuntoro+mangkusubroto"
"227","54","sofjan+wanandi"
"228","54","sudirman+said"
"223","54","susilo+bambang+yudhoyono"
"231","55","dono+boestami"
"237","56","basuki+trikora+putra"
"238","56","maumere"
"236","56","reo"
"235","56","rifky"
"234","56","sanggaran"
"232","56","wayan+koster"
"233","56","yusuf"
"240","57","agus+maimun"
"239","57","muhammad+hasyim"
"241","58","joko+widodo"
"243","59","asep+sukmara"
"242","59","suparna"
"247","60","edo+rahman"
"244","60","heri"
"245","60","proyekplj'a+matenggeng"
"246","60","susanto"
"249","61","eko"
"248","61","huseno+gempa"
"251","62","arif+satria"
"250","62","bambang+brodjonegoro"
"252","62","rini+soemarno"
"255","63","joko+widodo"
"256","63","rahman"
"254","63","subaini"
"253","63","sutopo+purwo+nugroho"
"257","64","abdullah+mansuri"
"258","65","gusti+ngurah+jelantik+manuaba"
"259","65","wayan+suamba"
"262","66","mohammad+ta'in"
"261","66","sutanto"
"260","66","watno"
"265","67","gus+yasin"
"264","67","ponpes+pemprov"
"263","67","taj+yasin"
"266","68","sunardi"
"268","69","chok"
"269","69","karno"
"271","69","suwadi+wongso"
"270","69","william+wongso"
"272","69","wong+see+hwa"
"267","69","yong+indrajaya"
"273","70","agus+trimukti"
"274","71","heri+pratikno"
"275","71","rohmat"
"277","72","asep+sukmara"
"276","72","suparna"
"279","73","banka+belitung"
"278","73","chairani+rahmatullah"
"287","75","g+i+pamona"
"281","75","g+i+sidera+g+i+silae"
"280","75","g+i+talise"
"282","75","jusuf+kalla"
"285","75","kasim"
"284","75","mas'ud+khamid"
"286","75","muh+yamin"
"283","75","syamsul+hudamenuturkan"
"289","76","abdurrahman+mohammad+fachir"
"294","76","danrs+bhayangkara+bantuan"
"293","76","imam+suhartadi+hingga"
"292","76","indriani+widiastuti"
"291","76","lere"
"295","76","nosala"
"288","76","paboya"
"290","76","sutopo+purwo+nugroho"
"296","77","amran"
