PROVCODE_A,PROVNAME_A,KOTCODE_A,KOTNAME_A,KECCODE_A,KECNAME_A,KELCODE_A,KELNAME_A,PROVCODE_B,PROVNAME_B,KOTCODE_B,KOTNAME_B,KECCODE_B,KECNAME_B,KELCODE_B,KELNAME_B,ACTION
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,1,MALASARI,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,1,MALASARI,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,2,BANTAR KARET,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,2,BANTAR KARET,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,3,CISARUA,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,3,CISARUA,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,4,CURUG BITUNG,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,4,CURUG BITUNG,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,5,NANGGUNG,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,5,NANGGUNG,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,6,PANGKAL JAYA,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,6,PANGKAL JAYA,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,7,SUKALUYU,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,7,SUKALUYU,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,8,HAMBARO,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,8,HAMBARO,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,9,KALONG LIUD,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,9,KALONG LIUD,match
32,JAWA BARAT,1,BOGOR,10,NANGGUNG,10,PARAKAN MUNCANG,32,JAWA BARAT,1,BOGOR,10,NANGGUNG,10,PARAKAN MUNCANG,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,1,PURASARI,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,1,PURASARI,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,2,PURASEDA,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,2,PURASEDA,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,3,KARYASARI,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,3,KARYASARI,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,4,PABANGBON,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,4,PABANGBON,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,5,KARACAK,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,5,KARACAK,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,6,BARENGKOK,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,6,BARENGKOK,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,7,CIBEBER II,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,7,CIBEBER II,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,16,CIBEBER I,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,16,CIBEBER I,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,17,LEUWIMEKAR,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,17,LEUWIMEKAR,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,18,LEUWILIANG,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,18,LEUWILIANG,match
32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,19,KAREHKEL,32,JAWA BARAT,1,BOGOR,20,LEUWILIANG,19,KAREHKEL,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,1,WANGUN JAYA,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,1,WANGUN JAYA,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,2,SADENGKOLOT,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,2,SADENGKOLOT,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,3,LEUWISADENG,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,3,LEUWISADENG,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,4,SIBANTENG,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,4,SIBANTENG,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,5,BABAKAN SADENG,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,5,BABAKAN SADENG,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,6,SADENG,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,6,SADENG,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,7,KALONG II,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,7,KALONG II,match
32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,8,KALONG I,32,JAWA BARAT,1,BOGOR,21,LEUWISADENG,8,KALONG I,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,1,CIBUNIAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,1,CIBUNIAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,2,PURWABAKTI,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,2,PURWABAKTI,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,3,CIASMARA,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,3,CIASMARA,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,4,CIASIHAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,4,CIASIHAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,5,GUNUNG SARI,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,5,GUNUNG SARI,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,6,GUNUNG BUNDER 2,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,6,GUNUNG BUNDER 2,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,7,GUNUNG BUNDER 1,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,7,GUNUNG BUNDER 1,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,8,CIBENING,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,8,CIBENING,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,9,GUNUNG PICUNG,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,9,GUNUNG PICUNG,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,10,CIBITUNG KULON,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,10,CIBITUNG KULON,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,11,CIBITUNG WETAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,11,CIBITUNG WETAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,12,PAMIJAHAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,12,PAMIJAHAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,13,PASAREAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,13,PASAREAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,14,GUNUNG MENYAN,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,14,GUNUNG MENYAN,match
32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,15,CIMAYANG,32,JAWA BARAT,1,BOGOR,30,PAMIJAHAN,15,CIMAYANG,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,1,SITU UDIK,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,1,SITU UDIK,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,2,SITU ILIR,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,2,SITU ILIR,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,3,CIBATOK 2,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,3,CIBATOK 2,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,4,CIARUTEN UDIK,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,4,CIARUTEN UDIK,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,5,CIBATOK 1,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,5,CIBATOK 1,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,6,SUKAMAJU,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,6,SUKAMAJU,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,7,CEMPLANG,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,7,CEMPLANG,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,8,GALUGA,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,8,GALUGA,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,9,DUKUH,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,9,DUKUH,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,10,CIMANGGU 2,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,10,CIMANGGU 2,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,11,CIMANGGU 1,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,11,CIMANGGU 1,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,12,GIRIMULYA,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,12,GIRIMULYA,match
32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,13,LEUWEUNG KOLOT,32,JAWA BARAT,1,BOGOR,40,CIBUNGBULANG,13,LEUWEUNG KOLOT,match
