CODE_A,TITLE_A,SUBCODE_A,SUBTITLE_A,CODE_B,TITLE_B,SUBCODE_B,SUBTITLE_B,ACTION
A101,Provinsi,-,-,A101,Provinsi,-,-,match
A101N,Nama provinsi,-,-,A101N,Nama provinsi,-,-,match
A102,Kabupaten/Kota,-,-,A102,Kabupaten/Kota,-,-,match
A102N,Nama kabupaten/kota,-,-,A102N,Nama kabupaten/kota,-,-,match
A103,Kecamatan,-,-,A103,Kecamatan,-,-,match
A103N,Nama kecamatan,-,-,A103N,Nama kecamatan,-,-,match
A104,Desa/Kelurahan/Nagari,-,-,A104,Desa/Kelurahan/Nagari,-,-,match
A104N,Nama desa/kelurahan,-,-,A104N,Nama desa/kelurahan,-,-,match
A301,Status Pemerintahan,1,Desa,A301,Status Pemerintahan,1,Desa,match
A301,Status Pemerintahan,2,Kelurahan,A301,Status Pemerintahan,2,Kelurahan,match
A302,Badan Perwakilan Desa/Dewan Kelurahan,1,Desa,A302,Badan Perwakilan Desa/Dewan Kelurahan,1,Desa,match
A302,Badan Perwakilan Desa/Dewan Kelurahan,2,Kelurahan,A302,Badan Perwakilan Desa/Dewan Kelurahan,2,Kelurahan,match
R3031_2,Satuan Lingkungan Terkecil 1,-,-,R3031_2,Satuan Lingkungan Terkecil 1,-,-,match
R3031_3,Kode SLS tingkat 1,1,RT,R3031_3,Kode SLS tingkat 1,1,RT,match
R3031_3,Kode SLS tingkat 1,2,RW/WK,R3031_3,Kode SLS tingkat 1,2,RW/WK,match
R3031_3,Kode SLS tingkat 1,3,Jorong,R3031_3,Kode SLS tingkat 1,3,Jorong,match
R3031_3,Kode SLS tingkat 1,4,Korong,R3031_3,Kode SLS tingkat 1,4,Korong,match
R3031_3,Kode SLS tingkat 1,5,Kampung,R3031_3,Kode SLS tingkat 1,5,Kampung,match
R3031_3,Kode SLS tingkat 1,6,Lingkungan,R3031_3,Kode SLS tingkat 1,6,Lingkungan,match
R3031_3,Kode SLS tingkat 1,7,Banjar,R3031_3,Kode SLS tingkat 1,7,Banjar,match
R3031_3,Kode SLS tingkat 1,8,Dusun,R3031_3,Kode SLS tingkat 1,8,Dusun,match
R3031_3,Kode SLS tingkat 1,9,Lainnya,R3031_3,Kode SLS tingkat 1,9,Lainnya,match
R3031_4,Jumlah SLS tingkat 1,-,-,R3031_4,Jumlah SLS tingkat 1,-,-,match
R3032_2,Satuan Lingkungan Terkecil 2,-,-,R3032_2,Satuan Lingkungan Terkecil 2,-,-,match
R3032_3,Kode SLS tingkat 2,1,RT,R3032_3,Kode SLS tingkat 2,1,RT,match
R3032_3,Kode SLS tingkat 2,2,RW/WK,R3032_3,Kode SLS tingkat 2,2,RW/WK,match
R3032_3,Kode SLS tingkat 2,3,Jorong,R3032_3,Kode SLS tingkat 2,3,Jorong,match
R3032_3,Kode SLS tingkat 2,4,Korong,R3032_3,Kode SLS tingkat 2,4,Korong,match
R3032_3,Kode SLS tingkat 2,5,Kampung,R3032_3,Kode SLS tingkat 2,5,Kampung,match
R3032_3,Kode SLS tingkat 2,6,Lingkungan,R3032_3,Kode SLS tingkat 2,6,Lingkungan,match
R3032_3,Kode SLS tingkat 2,7,Banjar,R3032_3,Kode SLS tingkat 2,7,Banjar,match
R3032_3,Kode SLS tingkat 2,8,Dusun,R3032_3,Kode SLS tingkat 2,8,Dusun,match
R3032_3,Kode SLS tingkat 2,9,Lainnya,R3032_3,Kode SLS tingkat 2,9,Lainnya,match
R3032_4,Jumlah SLS tingkat 2,-,-,R3032_4,Jumlah SLS tingkat 2,-,-,match
R3033_2,Satuan Lingkungan terkecil 3,-,-,R3033_2,Satuan Lingkungan terkecil 3,-,-,match
R3033_3,Kode SLS tingkat 3,1,RT,R3033_3,Kode SLS tingkat 3,1,RT,match
R3033_3,Kode SLS tingkat 3,2,RW/WK,R3033_3,Kode SLS tingkat 3,2,RW/WK,match
R3033_3,Kode SLS tingkat 3,3,Jorong,R3033_3,Kode SLS tingkat 3,3,Jorong,match
R3033_3,Kode SLS tingkat 3,4,Korong,R3033_3,Kode SLS tingkat 3,4,Korong,match
R3033_3,Kode SLS tingkat 3,5,Kampung,R3033_3,Kode SLS tingkat 3,5,Kampung,match
R3033_3,Kode SLS tingkat 3,6,Lingkungan,R3033_3,Kode SLS tingkat 3,6,Lingkungan,match
R3033_3,Kode SLS tingkat 3,7,Banjar,R3033_3,Kode SLS tingkat 3,7,Banjar,match
R3033_3,Kode SLS tingkat 3,8,Dusun,R3033_3,Kode SLS tingkat 3,8,Dusun,match
R3033_3,Kode SLS tingkat 3,9,Lainnya,R3033_3,Kode SLS tingkat 3,9,Lainnya,match
R3033_4,Jumlah SLS tingkat 3,-,-,R3033_4,Jumlah SLS tingkat 3,-,-,match
R3034_2,Satuan Lingkungan Terkecil 4,-,-,R3034_2,Satuan Lingkungan Terkecil 4,-,-,match
R3034_3,Kode SLS tingkat 4,1,RT,R3034_3,Kode SLS tingkat 4,1,RT,match
R3034_3,Kode SLS tingkat 4,2,RW/WK,R3034_3,Kode SLS tingkat 4,2,RW/WK,match
R3034_3,Kode SLS tingkat 4,3,Jorong,R3034_3,Kode SLS tingkat 4,3,Jorong,match
R3034_3,Kode SLS tingkat 4,4,Korong,R3034_3,Kode SLS tingkat 4,4,Korong,match
R3034_3,Kode SLS tingkat 4,5,Kampung,R3034_3,Kode SLS tingkat 4,5,Kampung,match
R3034_3,Kode SLS tingkat 4,6,Lingkungan,R3034_3,Kode SLS tingkat 4,6,Lingkungan,match
R3034_3,Kode SLS tingkat 4,7,Banjar,R3034_3,Kode SLS tingkat 4,7,Banjar,match
R3034_3,Kode SLS tingkat 4,8,Dusun,R3034_3,Kode SLS tingkat 4,8,Dusun,match
R3034_3,Kode SLS tingkat 4,9,Lainnya,R3034_3,Kode SLS tingkat 4,9,Lainnya,match
R3034_4,Jumlah SLS tingkat 4,-,-,R3034_4,Jumlah SLS tingkat 4,-,-,match
R304A,Letak geografis desa/kelurahan,1,Pesisir/pantai,R304A,Letak geografis desa/kelurahan,1,Pesisir/pantai,match
R304A,Letak geografis desa/kelurahan,2,Bukan pesisir,R304A,Letak geografis desa/kelurahan,2,Bukan pesisir,match
R304B,Panjang pantai,1,< 1 km,R304B,Panjang pantai,1,< 1 km,match
R304B,Panjang pantai,2,1-5 km > 5 km,R304B,Panjang pantai,2,1-5 km > 5 km,match
R304C,Topografi wilayah,1,Lembah/daerah aliran sungai,R304C,Topografi wilayah,1,Lembah/daerah aliran sungai,match
R304C,Topografi wilayah,2,Lereng/punggung,R304C,Topografi wilayah,2,Lereng/punggung,match
R304C,Topografi wilayah,3,Dataran,R304C,Topografi wilayah,3,Dataran,match
R304D,Ketinggian dari permukaan laut,-,-,R304D,Ketinggian dari permukaan laut,-,-,match
R305,Wilayah desa/kelurahan ini berada,1,Di dalam kawasan hutan,R305,Wilayah desa/kelurahan ini berada,1,Di dalam kawasan hutan,match
R305,Wilayah desa/kelurahan ini berada,2,Di tepi/sekitar kawasan hutan,R305,Wilayah desa/kelurahan ini berada,2,Di tepi/sekitar kawasan hutan,match
R305,Wilayah desa/kelurahan ini berada,3,Di luar kawasan hutan,R305,Wilayah desa/kelurahan ini berada,3,Di luar kawasan hutan,match
R401A,Jumlah penduduk laki-laki,-,-,R401A,Jumlah penduduk laki-laki,-,-,match
R401B,Jumlah penduduk perempuan,-,-,R401B,Jumlah penduduk perempuan,-,-,match
R401C,Jumlah keluarga,-,-,R401C,Jumlah keluarga,-,-,match
R401D,Persentase keluarga pertanian,-,-,R401D,Persentase keluarga pertanian,-,-,match
R401E,Jumlah keluarga yang anggotanya menjadi buruh tani,-,-,R401E,Jumlah keluarga yang anggotanya menjadi buruh tani,-,-,match
R402,Sumber penghasilan utama penduduk,1,Pertanian,R402,Sumber penghasilan utama penduduk,1,Pertanian,match
R402,Sumber penghasilan utama penduduk,2,Pertambangan dan penggalian,R402,Sumber penghasilan utama penduduk,2,Pertambangan dan penggalian,match
R402,Sumber penghasilan utama penduduk,3,Industri pengolahan;,R402,Sumber penghasilan utama penduduk,3,Industri pengolahan;,match
R402,Sumber penghasilan utama penduduk,4,"Perdagangan besar/Eceran, rumah makan;",R402,Sumber penghasilan utama penduduk,4,"Perdagangan besar/Eceran, rumah makan;",match
R402,Sumber penghasilan utama penduduk,5,"Angkutan, pergudangan, komunikasi;",R402,Sumber penghasilan utama penduduk,5,"Angkutan, pergudangan, komunikasi;",match
R402,Sumber penghasilan utama penduduk,6,Jasa;,R402,Sumber penghasilan utama penduduk,6,Jasa;,match
R402,Sumber penghasilan utama penduduk,7,Lainnya,R402,Sumber penghasilan utama penduduk,7,Lainnya,match
R403,Komoditi sumber penghasilan utama penduduk,1,Padi,R403,Komoditi sumber penghasilan utama penduduk,1,Padi,match
R403,Komoditi sumber penghasilan utama penduduk,2,Palawijaya,R403,Komoditi sumber penghasilan utama penduduk,2,Palawijaya,match
R403,Komoditi sumber penghasilan utama penduduk,3,Hortikultura;,R403,Komoditi sumber penghasilan utama penduduk,3,Hortikultura;,match
R403,Komoditi sumber penghasilan utama penduduk,4,Karet;,R403,Komoditi sumber penghasilan utama penduduk,4,Karet;,match
